"Disposition","Location","per_loc"
DRUNK,RONS LOT,1
OTHER DISTURBANCE,RONS LOT,7
SICK OR INJURED PERS,RONS LOT,2
STOLEN VEHICLE,RONS LOT,1
TRAFFIC PROBLEM,RONS LOT,5
TRAFFIC STOP,RONS LOT,1
WANTED PERSON,RONS LOT,1
OTHER DISTURBANCE,RONNOW ES,1
LUNCH,RONEMUS/SAUR,1
SUSPICIOUS PERSON,RONEMUS DR&W CHEYENNE AVE,1
TRAFFIC STOP,RONEMUS DR&SAUER ST,1
ILLEGAL VENDING,RON'S LOT,1
OTHER DISTURBANCE,RON'S LOT,1
TRAFFIC STOP,ROME & GRAND,1
ASSIST AN OFFICER,ROCK SPRINGS DR&W WASHINGTON A,1
ACCIDENT,ROCK SPRINGS DR&W LAKE MEAD BLVD,1
PERSON ON FOOT,ROCK SPRINGS DR&W LAKE MEAD BLVD,1
DRUNK DRIVER,ROCK SPRINGS DR&W LAKE MEAD BL,1
PED ON A ROADWAY,ROCK SPRINGS DR&W LAKE MEAD BL,1
PERSON ON FOOT,ROCK SPRINGS DR&W LAKE MEAD BL,1
ROBBERY,ROCK SPRINGS DR&W LAKE MEAD BL,1
TRAFFIC STOP,ROCK SPRINGS DR&W LAKE MEAD BL,1
ACCIDENT,ROCK SPRINGS DR&VEGAS DR,1
TRAFFIC STOP,ROCK SPRINGS DR&SMOKE RANCH RD,1
INVESTIGATION FOLLOW,ROCK SPRINGS & LAKE MEAD PKWY,1
TRAFFIC STOP,ROCK CHALK ST&E OWENS AVE,1
BURGLARY ALARM,ROBISON MIDDLE SCH,1
FIRE,ROBISON MIDDLE SCH,1
INVESTIGATION/FOLLOW,ROBISON MIDDLE SCH,1
PERSON ON FOOT,ROBISON MIDDLE SCH,1
SICK OR INJURED PERS,ROBISON MIDDLE SCH,1
TRAFFIC STOP,ROBIN ST&W WASHINGTON AVE,1
OUT OF VEHICLE,RM/,1
WANTED PERSON,RJC/WINDOW 28,19
SICK OR INJURED PERS,RJC/WINDOW 27,1
TRANSPORT,RJC/WINDOW 27,1
WANTED PERSON,RJC/WINDOW 27,2
WANTED PERSON,RJC/WINDOW 26,1
WANTED PERSON,RJC/WINDOW 24,1
WANTED PERSON,RJC/WINDOW 23,2
WANTED PERSON,RJC/WINDOW 22,2
WANTED PERSON,RJC/WINDOW 21,1
WANTED PERSON,RJC/WINDOW 20,1
WANTED PERSON,RJC/WINDOW,1
WANTED PERSON,RJC/WIN28,1
WANTED PERSON,RJC/WIN 28,1
WANTED PERSON,RJC/WIN 26,1
SICK/INJURED PERSON,RJC/SOUTH ENTRANCE,1
MISSING PERSON,RJC/DEPT 3,1
WANTED PERSON,RJC/ WINDOW 28,2
WANTED PERSON,RJC/ WINDOW 27,1
WANTED PERSON,RJC/ WINDOW 21,1
SICK OR INJURED PERS,RJC/ DEPT 4,1
WANTED PERSON,RJC-WINDOW 28,1
WANTED PERSON,RJC-WINDOW 25,1
WANTED PERSON,RJC-WIND 28,20
WANTED PERSON,RJC-WIND 27,2
WANTED PERSON,RJC-WIN 28,10
WANTED PERSON,RJC-WIN 27,4
WANTED PERSON,RJC-WIN 24,3
WANTED PERSON,RJC-WIN 23,6
WANTED PERSON,RJC-WIN 22,1
WANTED PERSON,RJC-WIN 20,1
COFFEE,RJC-D4,1
WANTED PERSON,RJC--WIND 28,3
WANTED PERSON,RJC--WIND 23,1
WANTED PERSON,RJC--WIN 28,5
WANTED PERSON,RJC--WIN 27,1
WANTED PERSON,RJC--WIN 23,3
WANTED PERSON,RJC--- WIND 28,1
WANTED PERSON,RJC- WIND 28,7
WANTED PERSON,RJC- WIN 28,5
WANTED PERSON,RJC X2-TC,1
TRANSPORT,RJC X1TRAFFIC,1
TRANSPORT,RJC X1F1C,1
TRANSPORT,RJC X1 1-C,2
WANTED PERSON,RJC WNDW 28,1
ASSIST A CITIZEN,RJC WINDOW 28,1
TRANSPORT,RJC WINDOW 28,2
WANTED PERSON,RJC WINDOW 28,50
WANTED PERSON,RJC WINDOW 26,3
WANTED PERSON,RJC WINDOW 24,3
WANTED PERSON,RJC WINDOW 23,5
WANTED PERSON,RJC WINDOW 22,4
WANTED PERSON,RJC WINDOW 21,1
WANTED PERSON,RJC WINDOW 17,1
WANTED PERSON,RJC WINDOW 16,1
WANTED PERSON,RJC WIND 24,1
WANTED PERSON,RJC WIN D28,1
WANTED PERSON,RJC WIN 28,9
WANTED PERSON,RJC WIN 27,3
WANTED PERSON,RJC WIN 26,1
WANTED PERSON,RJC WIN 24,1
WANTED PERSON,RJC WIN 23,1
WANTED PERSON,RJC WIN 22,1
TRANSPORT,RJC W28,2
TRANSPORT,RJC TCX3,1
TRAFFIC PROBLEM,RJC SPACE 221,1
WANTED PERSON,RJC REMANDS,1
TRAFFIC PROBLEM,RJC PK LOT,1
TRAFFIC PROBLEM,RJC PARKING LOT,1
ACCIDENT HIT/RUN,RJC PARKING GARAGE,1
RECOVERED STOLEN VEH,RJC LOT/SPACE 115,1
RECOVERED STOLEN VEH,RJC LOT-SPACE 216,1
TRAFFIC PROBLEM,RJC LOT SPACE 174,1
TRAFFIC PROBLEM,RJC LOT SPACE 113,2
TRAFFIC PROBLEM,RJC LOT METER 111,1
TRAFFIC PROBLEM,RJC LOT - METER 116,1
ROBBERY,RJC LOT - 143,1
ACCIDENT,RJC LOT,4
ACCIDENT HIT/RUN,RJC LOT,2
ASSIST AN OFFICER,RJC LOT,1
KEEP THE PEACE,RJC LOT,1
MAL DEST PROPERTY,RJC LOT,1
MENTALLY ILL PERSON,RJC LOT,1
OTHER DISTURBANCE,RJC LOT,5
RECOVERED STOLEN VEH,RJC LOT,1
SICK OR INJURED PERS,RJC LOT,1
SUSPICIOUS VEHICLE,RJC LOT,1
TRAFFIC PROBLEM,RJC LOT,55
WANTED PERSON,RJC LOT,4
PERSON ON FOOT,RJC FRONT COUNTER,1
TRANSPORT,RJC D5X5,1
TRANSPORT,RJC D5X1,2
TRANSPORT,RJC D5 XPORT,1
TRANSPORT,RJC D4X1,1
JUVENILE DISTURBANCE,RJC D3,1
TRANSPORT,RJC D2X1,1
TRANSPORT,RJC D1X1 D5X2 1CX1,1
TRANSPORT,RJC D1X1,1
DISTURBANCE OTH,RJC 4TH FLOOR,1
WANTED PERSON,RJC 4TH FL W7,1
WANTED PERSON,RJC 28,2
WANTED PERSON,RJC 27,1
WANTED PERSON,RJC 24,2
TRANSPORT,RJC 1X1C D4X1 D2X1,1
WANTED PERSON,RJC // WINDOW 28,1
MENTALLY ILL PERSON,RJC // DEPT 3,1
SICK/INJURED PERSON,RJC // DEPT 3,1
WANTED PERSON,RJC / WINDOW 28,1
WANTED PERSON,RJC / WINDOW 26,1
WANTED PERSON,RJC / WINDOW 24,1
WANTED PERSON,RJC / 28,1
TRANSPORT,RJC - WINDOW 28,1
WANTED PERSON,RJC - WINDOW 28,9
WANTED PERSON,RJC - WIN 28,35
DISTURBANCE OTH,RJC - WIN 27,1
WANTED PERSON,RJC - WIN 27,4
WANTED PERSON,RJC - WIN 25,2
WANTED PERSON,RJC - WIN 24,2
WANTED PERSON,RJC - WIN 23,1
WANTED PERSON,RJC - WIN 20,1
WANTED PERSON,RJC - WIN 17,1
WANTED PERSON,RJC - WIN #24,1
WANTED PERSON,RJC - WIMDOW 28,1
DISTURBANCE OTH,RJC - TC,1
WANTED PERSON,RJC - TC,1
WANTED PERSON,RJC - D6,1
WANTED PERSON,RJC - D3,1
WANTED PERSON,RJC - D1,1
ASSAULT/BATTERY,RJC - 4TH FLR,1
OTHER DISTURBANCE,RJC - 4TH FLR,1
WANTED PERSON,RJC - 4TH FLR,1
WANTED PERSON,RJC - 4TH FLOOR,1
DISTURBANCE OTH,RJC - 4TH,1
WANTED PERSON,RJC  WINDOW 28,1
WANTED PERSON,RJC  WINDOW 17,1
WANTED PERSON,RJC  WINDOW  28,1
WANTED PERSON,RJC  WIN 28,2
WANTED PERSON,RJC  WIN 25,1
WANTED PERSON,RJC  WIN  20,1
ACCIDENT,RJC,4
ASSAULT/BATTERY,RJC,3
ASSIST A CITIZEN,RJC,1
ASST AN OFFICER,RJC,1
BAR/PERIMETER CHECK,RJC,1
BITE,RJC,1
COFFEE,RJC,1
COURT,RJC,30
DETAIL,RJC,87
DETENTION - INCIDENT,RJC,9
DETENTION EN-ROUTE,RJC,1
DIRECTED PATROL ACTI,RJC,2
DISTURBANCE OTH,RJC,5
INDECENT EXPOSURE,RJC,1
INVESTIGATION/FOLLOW,RJC,26
LODGING W/O CONSENT,RJC,6
LUNCH,RJC,83
MAINTENANCE,RJC,3
MENTALLY ILL PERSON,RJC,1
MISC ADMIN MATTER,RJC,34
MISC. ADMIN MATTER,RJC,3
NARCOTICS,RJC,3
NON CRIMINAL DETAIL,RJC,1
NON-CRIMINAL DETAIL,RJC,5
OFFICER NEEDS HELP E,RJC,1
OTHER DISTURBANCE,RJC,6
OUT OF VEHICLE,RJC,125
PED/VEH INTERFERENCE,RJC,5
PERSON ON FOOT,RJC,27
PERSON W/GUN,RJC,1
PERSON W/KNIFE,RJC,1
SEE PERSON FOR INFO,RJC,2
SICK OR INJURED PERS,RJC,5
SICK/INJURED PERSON,RJC,17
STOLEN PROPERTY,RJC,1
SUSPICIOUS PERSON,RJC,4
SUSPICIOUS SITUATION,RJC,4
SUSPICIOUS VEHICLE,RJC,1
TRAFFIC PROBLEM,RJC,6
TRANSPORT,RJC,69
UNKNOWN,RJC,1
WANTED PERSON,RJC,258
TRANSPORT,RJ,1
BAR/PERIMETER CHECK,RIVERA COMM CTR,2
DETAIL,RIVERA COMM CTR,1
INVESTIGATION/FOLLOW,RIVERA COMM CTR,1
JUVENILE DISTURBANCE,RIVERA COMM CTR,1
MAL DEST PROPERTY,RIVERA COMM CTR,2
NARCOTICS,RIVERA COMM CTR,1
OTHER DISTURBANCE,RIVERA COMM CTR,1
PARK RULES VIOL ALCO,RIVERA COMM CTR,1
PARK RULES VIOL CHIL,RIVERA COMM CTR,1
PARK RULES VIOL CLOS,RIVERA COMM CTR,2
PERSON ON FOOT,RIVERA COMM CTR,12
SEE PERSON FOR INFO,RIVERA COMM CTR,1
STOLEN VEHICLE,RIVERA COMM CTR,1
SUSPICIOUS SITUATION,RIVERA COMM CTR,1
SUSPICIOUS VEHICLE,RIVERA COMM CTR,10
TRAFFIC STOP,RIVERA COMM CTR,7
WANTED PERSON,RIVERA COMM CTR,1
TRAFFIC STOP,RITZ COVE DR&REGATTA DR,1
MAL DEST PROPERTY,RIO VISTA ST&W REGENA AVE,1
OTHER DISTURBANCE,RICKY RD&N RANCHO DR,1
ACCIDENT,RICHFIELD BLVD&W SAHARA AVE,1
OUT OF VEHICLE,REVERE ST&W NELSON AVE,1
WARRANT PICKUP,REVERE ST&W NELSON AVE,1
TRAFFIC STOP,REVERE ST&W LAKE MEAD BLVD,1
WANTED PERSON,RESIDENCE,3
OTHER DISTURBANCE,RESEVOIR,1
DETAIL,RESCUE MISSION,2
TRAFFIC STOP,REGAL MESA AVE&N PAVILION CENTER DR,1
WANTED PERSON,REFLECTIONS HOUSE,4
WARRANT PICKUP,REFLECTIONS HOUSE,2
WANTED PERSON,REFLECTION STEP UP HOUSE,1
WANTED PERSON,REFLECTION HOUSE,2
MISC. ADMIN MATTER,REEDDORISES,1
OTHER DISTURBANCE,REEDDORISES,1
ACCIDENT PRIVATE PRO,REED WHIPPLE CUL CTR,1
BAR/PERIMETER CHECK,REED WHIPPLE CUL CTR,6
BURGLARY,REED WHIPPLE CUL CTR,4
BURGLARY ALARM,REED WHIPPLE CUL CTR,2
DETAIL,REED WHIPPLE CUL CTR,4
DIRECTED PATROL ACTI,REED WHIPPLE CUL CTR,2
FAMILY DISTURBANCE,REED WHIPPLE CUL CTR,2
FIRE,REED WHIPPLE CUL CTR,3
LODGING W/O CONSENT,REED WHIPPLE CUL CTR,7
MAINTENANCE,REED WHIPPLE CUL CTR,1
MAL DEST PROPERTY,REED WHIPPLE CUL CTR,6
MENTALLY ILL PERSON,REED WHIPPLE CUL CTR,1
MISC. ADMIN MATTER,REED WHIPPLE CUL CTR,1
NARCOTICS,REED WHIPPLE CUL CTR,4
NON-CRIMINAL DETAIL,REED WHIPPLE CUL CTR,1
OTHER DISTURBANCE,REED WHIPPLE CUL CTR,11
OUT OF VEHICLE,REED WHIPPLE CUL CTR,1
PERSON ON FOOT,REED WHIPPLE CUL CTR,52
SEE PERSON FOR INFO,REED WHIPPLE CUL CTR,4
SICK OR INJURED PERS,REED WHIPPLE CUL CTR,2
SUSPICIOUS PERSON,REED WHIPPLE CUL CTR,3
SUSPICIOUS SITUATION,REED WHIPPLE CUL CTR,7
SUSPICIOUS VEHICLE,REED WHIPPLE CUL CTR,5
TRAFFIC PROBLEM,REED WHIPPLE CUL CTR,1
TRESPASS,REED WHIPPLE CUL CTR,27
UNKNOWN TROUBLE,REED WHIPPLE CUL CTR,3
WANTED PERSON,REED WHIPPLE CUL CTR,1
ACCIDENT,REDWOOD ST&OBANNON DR,1
TRAFFIC PROBLEM,REDSTONE ST&SINGING DUNES LN,1
BURGLARY ALARM,REDEVELPMNT AGCY 145,1
PERSON ON FOOT,REDEVELPMNT AGCY 145,1
SICK OR INJURED PERS,REDEVELPMNT AGCY 145,1
WANTED PERSON,RED ROCK ST&W TROPICANA AVE,1
DETAIL,RED ROCK ES,1
NON-CRIMINAL DETAIL,RED ROCK ES,1
GRAND LARCENY,RED ROCK CASINO,1
INVESTIGATION/FOLLOW,RED ROCK CASINO,1
DETAIL,RED ROCK AND DEL REY,1
DETAIL,RED ROCK @ ZALLEL,1
ACCIDENT HIT/RUN,RED GARAGE//SLOTZILLA,1
NON-CRIMINAL DETAIL,RECORDS STORAGE FCILITY WY,1
BURGLARY ALARM,RECORDS STORAGE FACILITY,2
WANTED PERSON,REBELLMBE,1
WANTED PERSON,REBEL,1
PERSON ON FOOT,REBECCA RD&W AZURE DR,1
WANTED PERSON,REAR TO COMPLEX BY WASH,1
WANTED PERSON,REAR OF WELLS FARGO,1
WANTED PERSON,REAR OF THE BLDG,1
WARRANT PICKUP,REAR OF GAS STATION,1
TRANSPORT,RAWSON NEAL,1
MENTALLY ILL PERSON,RAPID RESPONSE SAT YARD,1
OTHER DISTURBANCE,RAPID RESPONSE MOD,1
UNKNOWN TROUBLE,RAPID RESPONSE MOD,1
DIRECTED PATROL ACTI,RAPID RESPONSE,1
DETAIL,RANGE,1
INVESTIGATION/FOLLOW,RANCHOHI,2
DETAIL,RANCHO/WASHINGTON,1
WANTED PERSON,RANCHO HS,1
TRAFFIC STOP,RANCHO BEL AIR DR&S RANCHO DR,1
WANTED PERSON,RANCHO BEL AIR APTS ENTRANCE,1
DETAIL,RANCHO AND WASHINGTON,1
DETAIL,RANCHO AND LONE MT,1
DETAIL,RANCHO AND LONE MOUNTAIN,1
DETAIL,RANCHO AND CHEYENNE,1
DETAIL,RANCHO AND CHARLESTON,1
DETAIL,RANCHO AND 95,1
DETAIL,RANCHO @ CHEYENNE,2
DETAIL,RANCHO @ CHARLESTON,1
DETAIL,RANCHO @ ALEXANDER,1
MAINTENANCE,RANCHO & US95,1
TRAFFIC STOP,RANCHO & LLEWELLYN,1
TRAFFIC STOP,RAMPART/VEGAS DR,1
TRAFFIC STOP,RAMPART JUST S OF TRENT,1
DETAIL,RAMPART CASINO,1
PED ON A ROADWAY,RAMP US95 S LV BL N&N LAS VEGA,1
ACCIDENT,RAINBOW FAMILY PARK,2
ANIMAL COMPLAINT,RAINBOW FAMILY PARK,2
ASSAULT/BATTERY,RAINBOW FAMILY PARK,2
ASSIST A CITIZEN,RAINBOW FAMILY PARK,4
ASSIST AN OFFICER,RAINBOW FAMILY PARK,1
BAR/PERIMETER CHECK,RAINBOW FAMILY PARK,2
BURGLARY,RAINBOW FAMILY PARK,2
DETAIL,RAINBOW FAMILY PARK,1
DETENTION - INCIDENT,RAINBOW FAMILY PARK,1
DRUNK DRIVER,RAINBOW FAMILY PARK,1
FAMILY DISTURBANCE,RAINBOW FAMILY PARK,1
FIGHT,RAINBOW FAMILY PARK,1
FIRE,RAINBOW FAMILY PARK,2
ILLEGAL SHOOTING,RAINBOW FAMILY PARK,1
INDECENT EXPOSURE,RAINBOW FAMILY PARK,2
JUVENILE DISTURBANCE,RAINBOW FAMILY PARK,2
LODGING W/O CONSENT,RAINBOW FAMILY PARK,2
MAL DEST PROPERTY,RAINBOW FAMILY PARK,2
MISSING/FOUND PROPER,RAINBOW FAMILY PARK,2
NARCOTICS,RAINBOW FAMILY PARK,9
NON-CRIMINAL DETAIL,RAINBOW FAMILY PARK,7
OTHER DISTURBANCE,RAINBOW FAMILY PARK,30
PARK RULES VIOL ALCO,RAINBOW FAMILY PARK,2
PARK RULES VIOL CLOS,RAINBOW FAMILY PARK,37
PARK RULES VIOL OTHE,RAINBOW FAMILY PARK,8
PERSON ON FOOT,RAINBOW FAMILY PARK,19
PERSON W/GUN,RAINBOW FAMILY PARK,1
PERSON W/KNIFE,RAINBOW FAMILY PARK,1
RECOVERED STOLEN VEH,RAINBOW FAMILY PARK,2
SEE PERSON FOR INFO,RAINBOW FAMILY PARK,1
SICK OR INJURED PERS,RAINBOW FAMILY PARK,2
SUICIDE ATTEMPT,RAINBOW FAMILY PARK,2
SUSPICIOUS PERSON,RAINBOW FAMILY PARK,12
SUSPICIOUS SITUATION,RAINBOW FAMILY PARK,11
SUSPICIOUS VEHICLE,RAINBOW FAMILY PARK,112
TRAFFIC PROBLEM,RAINBOW FAMILY PARK,5
TRAFFIC STOP,RAINBOW FAMILY PARK,27
UNKNOWN TROUBLE,RAINBOW FAMILY PARK,4
WANTED PERSON,RAINBOW FAMILY PARK,7
TRAFFIC STOP,RAINBOW BRIDGE DR&OAK MEADOW L,1
DETAIL,RAINBOW AND CHEYENNE,1
MISC. ADMIN MATTER,RAILROAD PASS CASINO,1
WANTED PERSON,RAILROAD PASS CASINO,3
DETAIL,RAIL ROAD TRACKS,1
ASSAULT/BATTERY,RAFAEL RIVERA PARK,4
ASSIST A CITIZEN,RAFAEL RIVERA PARK,2
ASSIST AN OFFICER,RAFAEL RIVERA PARK,3
BAR/PERIMETER CHECK,RAFAEL RIVERA PARK,1
BURGLARY,RAFAEL RIVERA PARK,1
DRUNK,RAFAEL RIVERA PARK,1
FAMILY DISTURBANCE,RAFAEL RIVERA PARK,1
FIGHT,RAFAEL RIVERA PARK,5
FIRE,RAFAEL RIVERA PARK,5
GRAFFITI,RAFAEL RIVERA PARK,6
JUVENILE DISTURBANCE,RAFAEL RIVERA PARK,10
KEEP THE PEACE,RAFAEL RIVERA PARK,1
LODGING W/O CONSENT,RAFAEL RIVERA PARK,2
MAL DEST PROPERTY,RAFAEL RIVERA PARK,3
MENTALLY ILL PERSON,RAFAEL RIVERA PARK,1
MISSING/FOUND PROPER,RAFAEL RIVERA PARK,1
NARCOTICS,RAFAEL RIVERA PARK,10
NON-CRIMINAL DETAIL,RAFAEL RIVERA PARK,3
OTHER DISTURBANCE,RAFAEL RIVERA PARK,18
PARK RULES VIOL ALCO,RAFAEL RIVERA PARK,4
PARK RULES VIOL CLOS,RAFAEL RIVERA PARK,27
PARK RULES VIOL OTHE,RAFAEL RIVERA PARK,6
PARK RULES VIOL WEAP,RAFAEL RIVERA PARK,1
PERSON ON FOOT,RAFAEL RIVERA PARK,53
PERSON W/GUN,RAFAEL RIVERA PARK,3
ROBBERY,RAFAEL RIVERA PARK,2
SEE PERSON FOR INFO,RAFAEL RIVERA PARK,2
SICK OR INJURED PERS,RAFAEL RIVERA PARK,9
STOLEN PROPERTY,RAFAEL RIVERA PARK,1
SUICIDE THREAT,RAFAEL RIVERA PARK,1
SUSPICIOUS PERSON,RAFAEL RIVERA PARK,5
SUSPICIOUS SITUATION,RAFAEL RIVERA PARK,3
SUSPICIOUS VEHICLE,RAFAEL RIVERA PARK,40
TRAFFIC STOP,RAFAEL RIVERA PARK,30
TRESPASS,RAFAEL RIVERA PARK,1
UNKNOWN TROUBLE,RAFAEL RIVERA PARK,3
WANTED PERSON,RAFAEL RIVERA PARK,6
OTHER DISTURBANCE,RAFAEL RIVERA COMMUNITY CENTER,1
WANTED PERSON,RADIO SHACK,1
TRAFFIC STOP,RACEL ST&N DURANGO DR,1
OUT OF VEHICLE,R 137,1
WANTED PERSON,QUARTER MILE SOUTH OF TRACKS,1
FIGHT,PUMP AND SNACKS,1
OTHER DISTURBANCE,PUEBLO VISTA PARK,1
DETAIL,PSYCH SOLUTIONS,1
MISSING/FOUND PROPER,PSC,1
BURGLARY,PROD SRVCS TRAILERS,1
FIRE,PROD SRVCS TRAILERS,1
INVESTIGATION/FOLLOW,PROD SRVCS TRAILERS,1
MAL DEST PROPERTY,PROD SRVCS TRAILERS,1
WANTED PERSON,PROD SRVCS TRAILERS,1
MAINTENANCE,PRISMA,1
DETAIL,PRESIDENTIAL DEBATE,1
SUSPICIOUS PERSON,PRESCOTT ST&E BONANZA RD,1
ASSIST AN OFFICER,PREMIUM OUTLET MALL,1
AUTO BURGLARY,PRAIRIE FALCON RD&N TENAYA WAY,1
ROBBERY,PR'S RESIDENCE,1
AUTO BURGLARY,POST OFFICE LOT PARKING,1
ACCIDENT,POST OFFICE LOT,1
AUTO BURGLARY,POST OFFICE LOT,1
OTHER DISTURBANCE,POSSIBLY 16 OR 17,1
DETAIL,POPLAR AVE&N 16TH ST,1
WANTED PERSON,POPEYES,1
JUVENILE DISTURBANCE,POOL,1
DIRECTED PATROL ACTI,POLLY GONZALEZ,1
ABUSE NEGLECT,POLLY GONZALES PARK,1
ASSAULT/BATTERY,POLLY GONZALES PARK,2
ASSIST A CITIZEN,POLLY GONZALES PARK,1
BAR/PERIMETER CHECK,POLLY GONZALES PARK,2
COMMUNITY CONTACT,POLLY GONZALES PARK,1
DIRECTED PATROL ACTI,POLLY GONZALES PARK,2
DRUNK,POLLY GONZALES PARK,1
FIGHT,POLLY GONZALES PARK,6
FIRE,POLLY GONZALES PARK,1
GRAND LARCENY,POLLY GONZALES PARK,1
INVESTIGATION/FOLLOW,POLLY GONZALES PARK,1
JUVENILE DISTURBANCE,POLLY GONZALES PARK,10
KEEP THE PEACE,POLLY GONZALES PARK,1
MAINTENANCE,POLLY GONZALES PARK,1
MAL DEST PROPERTY,POLLY GONZALES PARK,3
MISSING/FOUND PROPER,POLLY GONZALES PARK,1
NARCOTICS,POLLY GONZALES PARK,3
NON-CRIMINAL DETAIL,POLLY GONZALES PARK,2
OTHER DISTURBANCE,POLLY GONZALES PARK,12
OUT OF VEHICLE,POLLY GONZALES PARK,1
PARK RULES VIOL ALCO,POLLY GONZALES PARK,2
PARK RULES VIOL CHIL,POLLY GONZALES PARK,1
PARK RULES VIOL CLOS,POLLY GONZALES PARK,10
PARK RULES VIOL OTHE,POLLY GONZALES PARK,2
PERSON ON FOOT,POLLY GONZALES PARK,8
RECOVERED STOLEN VEH,POLLY GONZALES PARK,2
ROBBERY,POLLY GONZALES PARK,2
SICK OR INJURED PERS,POLLY GONZALES PARK,1
SUSPICIOUS PERSON,POLLY GONZALES PARK,5
SUSPICIOUS SITUATION,POLLY GONZALES PARK,6
SUSPICIOUS VEHICLE,POLLY GONZALES PARK,10
TRAFFIC STOP,POLLY GONZALES PARK,4
UNKNOWN TROUBLE,POLLY GONZALES PARK,1
WANTED PERSON,POLLY GONZALES PARK,1
DIRECTED PATROL ACTI,POLIFCE MEM,1
ACCIDENT HIT/RUN,POLICE MEMORIAL PARK,1
ANIMAL COMPLAINT,POLICE MEMORIAL PARK,7
ASSAULT/BATTERY,POLICE MEMORIAL PARK,2
ASSIST A CITIZEN,POLICE MEMORIAL PARK,2
BAR/PERIMETER CHECK,POLICE MEMORIAL PARK,2
COMMUNITY CONTACT,POLICE MEMORIAL PARK,1
DETAIL,POLICE MEMORIAL PARK,6
DIRECTED PATROL ACTI,POLICE MEMORIAL PARK,2
DRUNK DRIVER,POLICE MEMORIAL PARK,1
FIGHT,POLICE MEMORIAL PARK,1
FIRE,POLICE MEMORIAL PARK,1
KEEP THE PEACE,POLICE MEMORIAL PARK,2
NARCOTICS,POLICE MEMORIAL PARK,4
NON-CRIMINAL DETAIL,POLICE MEMORIAL PARK,7
OTHER DISTURBANCE,POLICE MEMORIAL PARK,6
PARK RULES VIOL CLOS,POLICE MEMORIAL PARK,2
PERSON ON FOOT,POLICE MEMORIAL PARK,3
SEXUAL ASSAULT,POLICE MEMORIAL PARK,1
SICK OR INJURED PERS,POLICE MEMORIAL PARK,1
SUSPICIOUS PERSON,POLICE MEMORIAL PARK,2
SUSPICIOUS VEHICLE,POLICE MEMORIAL PARK,14
TRAFFIC PROBLEM,POLICE MEMORIAL PARK,1
TRAFFIC STOP,POLICE MEMORIAL PARK,4
WANTED PERSON,POLICE MEMORIAL PARK,1
DETAIL,POLARIS AND SIRIUS,1
INVESTIGATION/FOLLOW,POKERPALACE,1
TRAFFIC PROBLEM,POINT CONCEPTION DR&MOON SHORE DR,1
TRAFFIC STOP,PLAZA VERDE PL&VALPARAISO ST,1
ANIMAL COMPLAINT,PLAZA CASINO HOTEL,1
ASSIST AN OFFICER,PLAZA CASINO HOTEL,1
DETAIL,PLAZA CASINO HOTEL,2
OUT OF VEHICLE,PLAZA CASINO HOTEL,1
PERSON ON FOOT,PLAZA CASINO HOTEL,1
SICK OR INJURED PERS,PLAZA CASINO HOTEL,2
SUSPICIOUS SITUATION,PLAZA CASINO HOTEL,1
OUT OF VEHICLE,PLAYA VISTA APTS,1
DETAIL,PLANET HOLLYWOOD HTL,1
OTHER DISTURBANCE,PL P O LOT,2
SUSPICIOUS PERSON,PL F/S#1 LOT,1
SUSPICIOUS VEHICLE,PL F/S#1 LOT,2
RECOVERED STOLEN VEH,PL EMP LOT CODE ENF,1
TRAFFIC PROBLEM,PL EMP LOT CODE ENF,13
SUSPICIOUS SITUATION,PKG GARAGE,1
DRUNK,PKG ENF OFFICE,1
WARRANT PICKUP,PIZZA HUT,1
ANIMAL COMPLAINT,PIONEER PARK,1
ASSAULT/BATTERY,PIONEER PARK,1
ASSIST A CITIZEN,PIONEER PARK,2
ASSIST AN OFFICER,PIONEER PARK,3
BAR/PERIMETER CHECK,PIONEER PARK,2
COMMUNITY CONTACT,PIONEER PARK,1
DETAIL,PIONEER PARK,2
DIRECTED PATROL ACTI,PIONEER PARK,1
DRUNK,PIONEER PARK,1
FIGHT,PIONEER PARK,4
FOUND PERSON,PIONEER PARK,1
GRAFFITI,PIONEER PARK,2
GRAND LARCENY,PIONEER PARK,1
ILLEGAL SHOOTING,PIONEER PARK,4
INDECENT EXPOSURE,PIONEER PARK,1
INVESTIGATION/FOLLOW,PIONEER PARK,1
JUVENILE DISTURBANCE,PIONEER PARK,4
LODGING W/O CONSENT,PIONEER PARK,3
NARCOTICS,PIONEER PARK,11
NON-CRIMINAL DETAIL,PIONEER PARK,2
OTHER DISTURBANCE,PIONEER PARK,15
OUT OF VEHICLE,PIONEER PARK,3
PARK RULES VIOL CLOS,PIONEER PARK,12
PARK RULES VIOL OTHE,PIONEER PARK,3
PARK RULES VIOL WEAP,PIONEER PARK,1
PERSON ON FOOT,PIONEER PARK,29
PERSON W/GUN,PIONEER PARK,1
ROBBERY,PIONEER PARK,6
SICK OR INJURED PERS,PIONEER PARK,2
SUICIDE THREAT,PIONEER PARK,1
SUSPICIOUS PERSON,PIONEER PARK,7
SUSPICIOUS SITUATION,PIONEER PARK,7
SUSPICIOUS VEHICLE,PIONEER PARK,32
TRAFFIC STOP,PIONEER PARK,13
UNKNOWN TROUBLE,PIONEER PARK,3
DETAIL,PINTO LN&S TONOPAH DR,1
DETAIL,PINTO AND SHADOW LANE,1
TRAFFIC PROBLEM,PINK CLIFF CT&DESERT QUAIL DR,1
